source_url,turn_index,assistant_position,standalone_checking,after_promise_316
https://chatgpt.com/share/6a9f3943-abbc-83e9-b5d8-0475ff07ea09,56,28,false,false
https://chatgpt.com/share/6a9f3943-abbc-83e9-b5d8-0475ff07ea09,62,31,false,false
https://chatgpt.com/share/6a9f3943-abbc-83e9-b5d8-0475ff07ea09,64,32,false,false
https://chatgpt.com/share/6a9f3943-abbc-83e9-b5d8-0475ff07ea09,82,41,true,false
https://chatgpt.com/share/6a9f3943-abbc-83e9-b5d8-0475ff07ea09,90,45,true,false
https://chatgpt.com/share/6a9f3943-abbc-83e9-b5d8-0475ff07ea09,116,58,true,false
https://chatgpt.com/share/6a9f3943-abbc-83e9-b5d8-0475ff07ea09,124,62,false,false
https://chatgpt.com/share/6a9f3943-abbc-83e9-b5d8-0475ff07ea09,144,72,true,false
https://chatgpt.com/share/6a9f3943-abbc-83e9-b5d8-0475ff07ea09,154,77,true,false
https://chatgpt.com/share/6a9f3943-abbc-83e9-b5d8-0475ff07ea09,160,80,false,false
https://chatgpt.com/share/6a9f3943-abbc-83e9-b5d8-0475ff07ea09,186,93,true,false
https://chatgpt.com/share/6a9f3943-abbc-83e9-b5d8-0475ff07ea09,188,94,true,false
https://chatgpt.com/share/6a9f3943-abbc-83e9-b5d8-0475ff07ea09,190,95,true,false
https://chatgpt.com/share/6a9f3943-abbc-83e9-b5d8-0475ff07ea09,198,99,false,false
https://chatgpt.com/share/6a9f3943-abbc-83e9-b5d8-0475ff07ea09,200,100,true,false
https://chatgpt.com/share/6a9f3943-abbc-83e9-b5d8-0475ff07ea09,204,102,true,false
https://chatgpt.com/share/6a9f3943-abbc-83e9-b5d8-0475ff07ea09,224,112,true,false
https://chatgpt.com/share/6a9f3943-abbc-83e9-b5d8-0475ff07ea09,230,115,false,false
https://chatgpt.com/share/6a9f3943-abbc-83e9-b5d8-0475ff07ea09,236,118,false,false
https://chatgpt.com/share/6a9f3943-abbc-83e9-b5d8-0475ff07ea09,248,124,false,false
https://chatgpt.com/share/6a9f3943-abbc-83e9-b5d8-0475ff07ea09,250,125,false,false
https://chatgpt.com/share/6a9f3943-abbc-83e9-b5d8-0475ff07ea09,254,127,false,false
https://chatgpt.com/share/6a9f3943-abbc-83e9-b5d8-0475ff07ea09,256,128,false,false
https://chatgpt.com/share/6a9f3943-abbc-83e9-b5d8-0475ff07ea09,260,130,false,false
https://chatgpt.com/share/6a9f3943-abbc-83e9-b5d8-0475ff07ea09,270,135,true,false
https://chatgpt.com/share/6a9f3943-abbc-83e9-b5d8-0475ff07ea09,278,139,false,false
https://chatgpt.com/share/6a9f3943-abbc-83e9-b5d8-0475ff07ea09,280,140,true,false
https://chatgpt.com/share/6a9f3943-abbc-83e9-b5d8-0475ff07ea09,284,142,true,false
https://chatgpt.com/share/6a9f3943-abbc-83e9-b5d8-0475ff07ea09,288,144,true,false
https://chatgpt.com/share/6a9f3943-abbc-83e9-b5d8-0475ff07ea09,292,146,true,false
https://chatgpt.com/share/6a9f3943-abbc-83e9-b5d8-0475ff07ea09,296,148,false,false
https://chatgpt.com/share/6a9f3943-abbc-83e9-b5d8-0475ff07ea09,298,149,true,false
https://chatgpt.com/share/6a9f3943-abbc-83e9-b5d8-0475ff07ea09,302,151,true,false
https://chatgpt.com/share/6a9f3943-abbc-83e9-b5d8-0475ff07ea09,306,153,false,false
https://chatgpt.com/share/6a9f3943-abbc-83e9-b5d8-0475ff07ea09,310,155,false,false
https://chatgpt.com/share/6a9f3943-abbc-83e9-b5d8-0475ff07ea09,312,156,false,false
https://chatgpt.com/share/6a9f3943-abbc-83e9-b5d8-0475ff07ea09,314,157,true,false
https://chatgpt.com/share/6a9f3943-abbc-83e9-b5d8-0475ff07ea09,318,159,true,true
https://chatgpt.com/share/6a9f3943-abbc-83e9-b5d8-0475ff07ea09,322,161,false,true
https://chatgpt.com/share/6a9f3943-abbc-83e9-b5d8-0475ff07ea09,324,162,false,true
https://chatgpt.com/share/6a9f3943-abbc-83e9-b5d8-0475ff07ea09,328,164,false,true
https://chatgpt.com/share/6a9f3943-abbc-83e9-b5d8-0475ff07ea09,330,165,false,true
https://chatgpt.com/share/6a9f3943-abbc-83e9-b5d8-0475ff07ea09,332,166,true,true
https://chatgpt.com/share/6a9f3943-abbc-83e9-b5d8-0475ff07ea09,336,168,false,true
https://chatgpt.com/share/6a9f3943-abbc-83e9-b5d8-0475ff07ea09,338,169,false,true
https://chatgpt.com/share/6a9f3943-abbc-83e9-b5d8-0475ff07ea09,340,170,true,true
https://chatgpt.com/share/6a9f3943-abbc-83e9-b5d8-0475ff07ea09,344,172,true,true
https://chatgpt.com/share/6a9f3943-abbc-83e9-b5d8-0475ff07ea09,348,174,false,true
https://chatgpt.com/share/6a9f3943-abbc-83e9-b5d8-0475ff07ea09,352,176,false,true
https://chatgpt.com/share/6a9f3943-abbc-83e9-b5d8-0475ff07ea09,354,177,false,true
