day,source,source_day_slot,coverage,mean_colour_level,band_colour_level,off_band_colour_level,white_fraction,high_colour_fraction,peak_column_level,peak_broadband_fraction,peak_time_tomsk,longest_missing_hours
2025-07-18,raw/monthly20/2025-07-20.jpg,0,1.0,0.30746209621429443,0.3581490218639374,0.2949487864971161,8.988716517030974e-05,0.15311485464716643,0.8615654110908508,0.9473684210526315,8.589211618257261,0.0
2025-07-19,raw/monthly21/2025-07-21.jpg,0,1.0,0.3336981236934662,0.3776761591434479,0.3228410482406616,0.009226653130717088,0.163605215570572,0.7630609273910522,0.7744360902255639,10.58091286307054,0.0
2025-07-20,raw/monthly22/2025-07-22.jpg,0,1.0,0.34420403838157654,0.3741576373577118,0.33680930733680725,0.019383902794962087,0.20376891596078806,0.8975827693939209,1.0,14.962655601659751,0.0
2025-08-18,raw/monthly20/2025-08-19.bin,1,1.0,0.4312422573566437,0.4706703722476959,0.4215084910392761,0.03766272220635978,0.24528092382855873,0.882431149482727,0.9949874686716792,2.0663900414937757,0.0
2025-08-19,raw/monthly21/2025-08-21.jpg,0,1.0,0.36186206340789795,0.393413245677948,0.35407280921936035,0.00423527172361283,0.1875152015058744,0.7517850995063782,0.7243107769423559,18.74688796680498,0.0
2025-08-20,raw/monthly22/2025-08-22.jpg,0,1.0,0.3240739107131958,0.36401620507240295,0.3142131567001343,0.0010945084229561244,0.16501697281177627,0.6224128603935242,0.6115288220551378,8.738589211618256,0.0
2025-09-18,raw/monthly20/2025-09-20.jpg,0,1.0,0.21833458542823792,0.2892404794692993,0.2008296698331833,8.988716517030974e-05,0.09115087296299822,0.6410760879516602,0.6240601503759399,12.024896265560166,0.0
2025-09-19,raw/monthly21/2025-09-21.jpg,1,1.0,0.1989184319972992,0.27968257665634155,0.1789797693490982,0.0,0.07814895889512811,0.5675497651100159,0.5614035087719298,7.29460580912863,0.0
2025-09-20,raw/monthly22/2025-09-22.jpg,2,0.7953586497890295,0.26884377002716064,0.331057071685791,0.253484845161438,0.0018148820326678765,0.15332761612253445,0.9307311177253723,1.0,22.829875518672196,4.580912863070539
2025-10-18,raw/monthly20/2025-10-20.jpg,0,1.0,0.35531479120254517,0.3687363862991333,0.3520013391971588,0.02270972790626355,0.21191163562915727,0.7503121495246887,0.7543859649122807,17.203319502074688,0.0
2025-10-19,raw/monthly21/2025-10-21.jpg,0,1.0,0.2978922128677368,0.3381021320819855,0.28796541690826416,0.0002855239364233368,0.162632319194611,0.696705162525177,0.6641604010025063,13.618257261410788,0.0
2025-10-20,raw/monthly22/2025-10-22.jpg,0,1.0,0.23448947072029114,0.321323037147522,0.2130524069070816,5.287480304135867e-06,0.11902118164609837,0.7845830917358398,0.8020050125313283,13.070539419087137,0.0
2025-11-18,raw/monthly20/2025-11-20.jpg,0,1.0,0.21915721893310547,0.30619993805885315,0.19766855239868164,0.000438860865243277,0.10374036356714571,0.7153260707855225,0.7418546365914787,12.174273858921161,0.0
2025-11-19,raw/monthly21/2025-11-21.jpg,0,1.0,0.25895968079566956,0.323091983795166,0.2431269735097885,3.1724881824815205e-05,0.14133963600985586,0.7565456032752991,0.7744360902255639,11.975103734439834,0.0
2025-11-20,raw/monthly22/2025-11-22.jpg,0,1.0,0.311582088470459,0.3583827316761017,0.3000281751155853,0.04015841290991191,0.21066907775768534,0.7280954718589783,0.7619047619047619,9.236514522821578,0.0
2025-12-18,raw/monthly20/2025-12-20.jpg,0,0.8333333333333334,0.1694387048482895,0.22291427850723267,0.1562369167804718,0.00019669426731385426,0.07002950414009708,0.3982938230037689,0.3182957393483709,12.721991701244814,3.9336099585062243
2025-12-19,raw/monthly21/2025-12-21.jpg,0,1.0,0.1920885443687439,0.28084808588027954,0.17017602920532227,0.00010046212577858148,0.09091293634931209,0.8968034982681274,0.9799498746867168,14.763485477178424,0.0
