case_id,rtc_id,rtc_uuid,episode_count,first_timestamp,last_timestamp,rtc_rule_episode_count,ao30_episode_count,observed_span_seconds
eighteenth_share,rtc_42358be84c144a35b19faad1fdbb7c23,da847d6b-8721-4153-8f62-fdebb56c12b9,29,2026-08-12 14:38:44.942295+00:00,2026-08-12 15:18:23.443203+00:00,1,0,2378.500908
eighteenth_share,rtc_3838afb14f544fb6ad4560b4386eaeda,19e1defb-6ff4-4530-85d7-36a84ee3ea81,21,2026-08-12 15:26:44.086074+00:00,2026-08-12 15:39:19.327820+00:00,0,0,755.241746
eighth_share,rtc_6578ce6ba2cf45e3bf8a5450a8550e1f,58f20c26-a36a-49fd-8a6a-3b96703f365a,21,2026-08-13 10:53:15.319644+00:00,2026-08-13 11:08:56.701991+00:00,1,0,941.382347
eighth_share,rtc_78e559c293ff44ee9c476bfcf7d5a949,520d6716-728f-4e80-af3a-3ccfd5725f14,51,2026-08-13 11:18:37.934164+00:00,2026-08-13 11:55:46.564000+00:00,1,0,2228.629836
eighth_share,rtc_9b4ca9071fc645c99d088753dd6e6914,72c4d02f-d93a-4898-9aaa-b7560ace2520,110,2026-08-13 12:35:16.624561+00:00,2026-08-13 13:58:00.696331+00:00,1,1,4964.07177
eighth_share,rtc_05fed56a0d45434097f44029055406cd,8f1c9693-30e8-4fe3-8e04-57a73bff0e42,13,2026-08-13 14:14:59.372863+00:00,2026-08-13 14:43:34.795322+00:00,1,0,1715.422459
eighth_share,rtc_df761304dbe646afb43bde31a488a5ce,2a99880a-6f4f-4187-bea3-eb30615a3190,23,2026-08-13 14:53:19.245270+00:00,2026-08-13 15:29:27.974936+00:00,0,0,2168.729666
eleventh_share,rtc_e1adb8a3d2514349814e3b3311f066f9,8c24a98d-84df-4e32-8eac-cbb3a9212dd0,34,2026-08-02 21:12:37.902448+00:00,2026-08-02 22:49:15.712779+00:00,1,2,5797.810331
eleventh_share,rtc_5d36849729bc41beb973ff099c6378c2,71ba39d8-5e6e-490e-b236-3ec531b00127,63,2026-08-03 11:03:11.379411+00:00,2026-08-03 12:17:29.925514+00:00,0,7,4458.546103
fifteenth_share,rtc_f4d5c9a52e78412e996aa1a573f95c0d,f253e757-2227-4796-8685-ba428a854693,7,2026-08-10 09:42:34.213013+00:00,2026-08-10 09:45:33.597050+00:00,1,0,179.384037
