case_id,episode_id,rtc_id,rtc_uuid,source_timestamp,episode_family,source_node_ids,response_node_ids
eighteenth_share,eighteenth_share:E0001,rtc_42358be84c144a35b19faad1fdbb7c23,da847d6b-8721-4153-8f62-fdebb56c12b9,2026-08-12 14:38:44.942295+00:00,BUSINESS_INSTITUTIONAL_SCREEN,n11,n12;n15
eighteenth_share,eighteenth_share:E0002,rtc_42358be84c144a35b19faad1fdbb7c23,da847d6b-8721-4153-8f62-fdebb56c12b9,2026-08-12 14:39:20.513526+00:00,BUSINESS_INSTITUTIONAL_SCREEN,n16,n17
eighteenth_share,eighteenth_share:E0003,rtc_42358be84c144a35b19faad1fdbb7c23,da847d6b-8721-4153-8f62-fdebb56c12b9,2026-08-12 14:40:13.783181+00:00,BUSINESS_INSTITUTIONAL_SCREEN;UNIVERSAL_SEMANTIC_SCREEN,n22,n23
eighteenth_share,eighteenth_share:E0004,rtc_42358be84c144a35b19faad1fdbb7c23,da847d6b-8721-4153-8f62-fdebb56c12b9,2026-08-12 14:40:41.046764+00:00,UNIVERSAL_SEMANTIC_SCREEN,n26,n27
eighteenth_share,eighteenth_share:E0005,rtc_42358be84c144a35b19faad1fdbb7c23,da847d6b-8721-4153-8f62-fdebb56c12b9,2026-08-12 14:41:58.507124+00:00,BUSINESS_INSTITUTIONAL_SCREEN,n30,n31
eighteenth_share,eighteenth_share:E0006,rtc_42358be84c144a35b19faad1fdbb7c23,da847d6b-8721-4153-8f62-fdebb56c12b9,2026-08-12 14:43:59.619213+00:00,BUSINESS_INSTITUTIONAL_SCREEN;UNIVERSAL_SEMANTIC_SCREEN,n36,n37
eighteenth_share,eighteenth_share:E0007,rtc_42358be84c144a35b19faad1fdbb7c23,da847d6b-8721-4153-8f62-fdebb56c12b9,2026-08-12 14:47:26.046684+00:00,BUSINESS_INSTITUTIONAL_SCREEN,n52,n53
eighteenth_share,eighteenth_share:E0008,rtc_42358be84c144a35b19faad1fdbb7c23,da847d6b-8721-4153-8f62-fdebb56c12b9,2026-08-12 14:49:21.308701+00:00,BUSINESS_INSTITUTIONAL_SCREEN,n60,n61
eighteenth_share,eighteenth_share:E0009,rtc_42358be84c144a35b19faad1fdbb7c23,da847d6b-8721-4153-8f62-fdebb56c12b9,2026-08-12 14:51:51.081545+00:00,BUSINESS_INSTITUTIONAL_SCREEN,n79,n80
eighteenth_share,eighteenth_share:E0010,rtc_42358be84c144a35b19faad1fdbb7c23,da847d6b-8721-4153-8f62-fdebb56c12b9,2026-08-12 14:53:29.990334+00:00,BUSINESS_INSTITUTIONAL_SCREEN,n89,n90
